username, created_at, lng, lat, text
NolazineTV, Thu Jan 28 07:22:26 +0000 2021, -84.388900, 33.756600, What #GucciMane Song Bring You Back The Most Memories? #AtlantaMusicBlog @ Atlanta, Georgia https://t.co/tFPmWyO1Rs 
wyag1981, Thu Jan 28 07:22:26 +0000 2021, -85.768241, 37.822244, Here’s a song for you… Up All Night by Jon Pardihttps://t.co/pCmywjUO5R 
kantguardme, Thu Jan 28 07:22:27 +0000 2021, -89.922029, 35.133521, u down bad 
DancesWithRain, Thu Jan 28 07:22:27 +0000 2021, -122.330602, 47.614817, @ValGal1212 I have only gone on my porch for blood draws ... 
iamasharee, Thu Jan 28 07:22:27 +0000 2021, -83.173867, 32.678207, y’all bodies 😍😍😍 
thequeeniskay, Thu Jan 28 07:22:28 +0000 2021, -86.791549, 36.200008, Head hurt some body come take it 
TWinderOfficial, Thu Jan 28 07:22:28 +0000 2021, -118.411907, 34.020789, Depression kicked my ASSSS the last couple of weeks. But now... I’m bouta fuck this bitch up cause I’m tireddddd 
nejsnave, Thu Jan 28 07:22:29 +0000 2021, -79.272570, 43.629311, cc @tattsjane 
Potocoh, Thu Jan 28 07:22:29 +0000 2021, -86.321494, 36.207541, Si tienes aversión por las ciencias duras no puedes decir que eres autoreferente. 
moemoe8120, Thu Jan 28 07:22:30 +0000 2021, -84.649088, 44.317065, WTH???? 
roach_georgia1, Thu Jan 28 07:22:30 +0000 2021, -119.637156, 36.331343, lol this guy told me if i tried harder i would be way more attractive hahaha haha ha i love men 🙄✋🏼💯 
rafalafaa, Thu Jan 28 07:22:30 +0000 2021, -117.716173, 34.119017, Omg Anna Stern has entered the chat 😍 
JADE_CAST91, Thu Jan 28 07:22:30 +0000 2021, -119.306608, 37.269176, This is absolutely normal in New York Lol 
tawilliams_12, Thu Jan 28 07:22:30 +0000 2021, -85.837321, 31.335093, Or imma shoot and das 
zoltan5312, Thu Jan 28 07:22:30 +0000 2021, -111.650900, 35.199200, You wouldn't want your AR15 drown 🌞🌞🔫Thursday morning funny 🌞😂 @ Flagstaff, Arizona https://t.co/bWyu0RZCzz 
enkosiUFO, Thu Jan 28 07:22:30 +0000 2021, -90.247824, 38.653771, @JellyPopTM goddamn 
Iuvtherealme, Thu Jan 28 07:22:31 +0000 2021, -117.172543, 32.650102, whack asf 
Davidtdiaz702, Thu Jan 28 07:22:31 +0000 2021, -115.223125, 36.232915, Lindsey Graham issues THREAT ahead of Trump’s Senate trial https://t.co/C91F3Wb2k3 via @YouTube 
ClippedMeSmh, Thu Jan 28 07:22:31 +0000 2021, -83.173867, 32.678207, I get it 
kiararobinson11, Thu Jan 28 07:22:31 +0000 2021, -95.446486, 29.838495, i just got in my feelings hella thinking about the people I was close with in hs😂😭 
_mcrx, Thu Jan 28 07:22:31 +0000 2021, -83.099288, 42.352787, .@Iam_AreJay during The Mist when I walked away for 5 minutes 🤣🤣 https://t.co/5KYbLUwNnT 
BabyFox13437126, Thu Jan 28 07:22:32 +0000 2021, -89.765519, 30.297863, @laurenboebert Sarcastic tweets will also not get you very far. You might want to try another approach. Remember th… https://t.co/KFhRXQxw8c 
jeremymstamper, Thu Jan 28 07:22:32 +0000 2021, -119.306608, 37.269176, @james_e_baldwin @mollycrabapple There’s nothing wrong with speculation. 
zonee_6, Thu Jan 28 07:22:33 +0000 2021, 126.966944, 37.028537, Shaq funny asl 
Matthew09870281, Thu Jan 28 07:22:33 +0000 2021, -103.544791, 37.978044, @SebGorka Libs like their Deputies when they are getting ear full.  Probably has an F-12 flag at home. 
HimHunOnline, Thu Jan 28 07:22:33 +0000 2021, -87.732013, 41.833585, WOWWWWWWWWW IM DUMB AS FUCK 
deejay2425, Thu Jan 28 07:22:33 +0000 2021, -80.926628, 33.631140, 😂😂😂 
orestitoss, Thu Jan 28 07:22:34 +0000 2021, -121.879033, 36.596299, @panaclo Aquí en Monterey Ca. Llevamos 3 días con vientos muy fuertes y mucha lluvia. 
vnthonie, Thu Jan 28 07:22:34 +0000 2021, -119.276180, 35.492233, this mac from ono’s is something else 🔥 
paulidin, Thu Jan 28 07:22:35 +0000 2021, -118.411907, 34.020789, Alice Lee's I'll Stand By You on #ZoeysPlaylist was so beautiful, wow! 
AyeViaJae, Thu Jan 28 07:22:35 +0000 2021, -118.156711, 33.809172, @LeMercrediAdams 🥰🥰🥰 
MurkyMoodRing, Thu Jan 28 07:22:35 +0000 2021, -78.566676, 35.948370, So. Freakin. Excited. #snow #nc @wral https://t.co/PAhzfSByU2 
C0raz0nKur0, Thu Jan 28 07:22:35 +0000 2021, -118.411907, 34.020789, @goldiswim 😪😭😭 
kissland_69, Thu Jan 28 07:22:35 +0000 2021, -117.982366, 34.002381, I’m literally going thru it rn and ur to selfish and insensitive to see that u rather say I just don’t like u and d… https://t.co/PJpxbPYzMz 
thequeeniskay, Thu Jan 28 07:22:35 +0000 2021, -86.791549, 36.200008, Feeling all over the place 
Vandunk70, Thu Jan 28 07:22:36 +0000 2021, -95.446486, 29.838495, Makes PERFECT sense! 
blewis823, Thu Jan 28 07:22:36 +0000 2021, -87.732013, 41.833585, @brat2381 I can't and I won't. 
hopeful_, Thu Jan 28 07:22:36 +0000 2021, -117.397616, 33.935822, So proud of you @joshngme. 2021 is yours! 🥳 
RobbieRaughRN, Thu Jan 28 07:22:36 +0000 2021, -78.764632, 43.009117, @EntrepreneurWNY @IgniteBflo @forty3north Awesome! 
LIZBEBE_, Thu Jan 28 07:22:37 +0000 2021, -95.446486, 29.838495, I’m almost half way through the end of the poem and have understood like 20% of what’s going on 
clubhousecrafts, Thu Jan 28 07:22:37 +0000 2021, -115.133373, 36.249124, @WatchTheBreaks Thanks! Hopefully more to come. 
patricefornow, Thu Jan 28 07:22:37 +0000 2021, -86.791549, 36.200008, @clayti_ @mxnrisa @BravoRRed Very confusing!!!! 
mstinzi, Thu Jan 28 07:22:37 +0000 2021, -75.800141, 45.248791, @AKhlark @EricOnSportsLaw Also, are you a parent? If not, then I suggest you refrain from commenting about others’… https://t.co/zEUQNOkCJP 
_yajairaaa, Thu Jan 28 07:22:38 +0000 2021, -118.167272, 33.804261, About to use my home down payment savings on stock. Gonna turn the down payment into the whole payment 🙃 🚀  🌕 
DamnitPreme, Thu Jan 28 07:22:38 +0000 2021, -73.968542, 40.780709, Including the females in the room and the person recording, 
marshallstsiddy, Thu Jan 28 07:22:38 +0000 2021, -75.117998, 40.004866, Bitches be wanted to get spoiled so bad but be on BS ✌️ 
thekatehannon, Thu Jan 28 07:22:38 +0000 2021, -70.705693, 42.111970, Thank goodness for Taylor Swift in 2020-21. I don’t cry but I do stream folklore/evermore in the wee hours. 
HeimBBQ, Thu Jan 28 07:22:38 +0000 2021, -97.424572, 32.764156, @GeorgeDunham 
Fabian54774498, Thu Jan 28 07:22:38 +0000 2021, -74.066663, 40.718001, Account Progression on FanCentro https://t.co/7PhgoS9SYC 
OhskaOhska, Thu Jan 28 07:22:38 +0000 2021, -91.401008, 30.937336, Rain feel like heat on my skin 
menito24, Thu Jan 28 07:22:39 +0000 2021, -123.029015, 44.935084, Finally did a home workout in over 5 months 😑👏🏽. Get it together, sis! 
